gene symbol	percent_bases_covered at 30X
POFUT1	100.0
SUZ12	100.0
ATP6V0A2	100.0
CASP14	100.0
LEMD3	100.0
ALOX12B	100.0
PSRC1	100.0
STAC3	100.0
MTOR	100.0
KDSR	100.0
FYB1	100.0
PCSK9	100.0
GALE	100.0
GALNT3	100.0
SAMHD1	100.0
PNKD	100.0
KANK2	100.0
LDLRAP1	100.0
ABCA12	100.0
GATA1	100.0
BLOC1S6	100.0
VPS33B	100.0
TINF2	100.0
GBA1	100.0
GBE1	100.0
IL36RN	100.0
SRPK3	100.0
GREM1	100.0
RNU12	100.0
GFER	100.0
GGCX	100.0
GJA1	100.0
ATP2C1	100.0
GJB2	100.0
PPA2	100.0
GJB3	100.0
BIN1	100.0
GLRA1	100.0
GLRB	100.0
GOLGA2	100.0
GP1BA	99.17995465508925
GP1BB	100.0
GP9	100.0
SLC24A5	100.0
CAVIN1	100.0
SLC25A42	100.0
RSPO1	100.0
DOK7	100.0
SH3PXD2B	97.81299825673534
PNPLA1	100.0
KRT6C	100.0
UBE2T	100.0
SLC25A4	100.0
DMD	95.23809523809524
MSH6	100.0
GTF2E1	100.0
GTF2E2	100.0
GMPPB	100.0
POMT2	100.0
EFEMP2	100.0
HCCS	100.0
SERPIND1	100.0
HLA-DRA	100.0
HMBS	100.0
HNRNPA1	100.0
HNRNPA2B1	100.0
HOXA11	100.0
HOXC13	100.0
APC	100.0
HPGD	100.0
HPS1	100.0
AIRE	100.0
HRAS	87.70492131147542
HRG	100.0
APOB	100.0
KCNK18	100.0
KY	100.0
STING1	100.0
SLFN14	100.0
RSPO4	100.0
APOE	100.0
NIPAL4	100.0
PADI6	99.74906026767043
IL1RN	100.0
IL7	100.0
AQP5	81.88978038654258
ITGA6	100.0
ITGA2B	100.0
ITGA3	100.0
ITGA7	100.0
ABCC6	100.0
ITGB3	100.0
ITGB4	100.0
JAG2	92.26603490034663
JUP	100.0
KCNA1	100.0
FAM111B	100.0
KCNMA1	100.0
KCNQ2	97.9487226923077
KIT	100.0
KLKB1	100.0
KNG1	100.0
KRAS	100.0
KRT1	100.0
KRT2	100.0
KRT5	100.0
KRT6A	100.0
KRT6B	100.0
KRT9	96.86295289575291
KRT10	100.0
KRT14	100.0
KRT16	100.0
KRT17	100.0
BLOC1S3	100.0
FLG2	100.0
KRT81	78.16090850574712
KRT83	100.0
KRT85	100.0
MYMK	100.0
KBTBD13	100.0
LAMA2	100.0
LAMA3	100.0
LAMB3	100.0
LAMC2	100.0
LAMP2	100.0
LDLR	100.0
LETM1	100.0
RHOH	100.0
LMAN1	100.0
LMNA	100.0
LORICRIN	100.0
GTF2H5	100.0
LSS	100.0
EPCAM	100.0
SMAD4	100.0
STS	100.0
MARS1	100.0
ARSL	100.0
KITLG	100.0
MITF	100.0
MLH1	100.0
MOG	100.0
MPL	100.0
MRE11	100.0
MSH2	100.0
MSH3	100.0
MST1	100.0
MSX1	100.0
MTM1	100.0
MUTYH	100.0
MVD	100.0
MVK	100.0
MYBPC1	100.0
MYBPC3	100.0
MYF5	100.0
SERPINC1	100.0
MYH2	100.0
MYH3	100.0
MYH7	100.0
MYH8	100.0
MYH9	100.0
MYL1	100.0
MYL2	100.0
MYO5A	98.90776638349516
MYOD1	100.0
NBN	100.0
NEB	88.14875375630022
ATM	100.0
NEDD4	100.0
NEFL	100.0
NF1	99.96002402558464
ATP1A2	100.0
NF2	100.0
ATP1A3	100.0
NFKB2	100.0
NFKBIA	100.0
NOTCH3	100.0
ATP2A2	100.0
HFE	100.0
NRAS	100.0
NTHL1	100.0
OCA2	100.0
P2RX1	100.0
SMARCAL1	100.0
SERPINE1	100.0
PAX3	100.0
PAX7	100.0
NSDHL	100.0
ASCC1	100.0
ABHD5	100.0
SLC45A2	100.0
GP6	100.0
TBC1D7	100.0
MBTPS2	100.0
POMP	100.0
PDE2A	100.0
PDGFRB	100.0
ENPP1	97.46487510690287
INPP5K	100.0
MAP3K20	100.0
ADA2	100.0
PEX7	100.0
PHYH	100.0
SERPINB8	100.0
PIGA	100.0
PIK3CA	100.0
PIK3R2	100.0
PKP1	100.0
PLA2G4A	100.0
PLAT	100.0
PLAU	100.0
PLEC	100.0
PLG	100.0
SERPINF2	100.0
ATP7A	100.0
PMS2	100.0
ATP7B	100.0
TSPEAR	100.0
RIPK4	100.0
CYCS	100.0
POLD1	100.0
POLE	100.0
POLH	100.0
DPM3	100.0
SOX18	91.10429516871166
ATR	100.0
NDUFB11	100.0
KLHL24	100.0
SAMD9	100.0
TRPM7	100.0
NSUN2	100.0
RNF43	100.0
PPOX	100.0
PPP1CB	100.0
FKBP14	100.0
FANCL	100.0
WRAP53	100.0
MSTO1	92.569213161729
RFWD3	100.0
FANCI	100.0
SLC29A3	100.0
FERMT1	92.0231598584754
POMGNT1	99.61028823070927
SLC39A4	100.0
NLRP2	100.0
PRKAR1A	100.0
NAXD	100.0
HR	100.0
PSENEN	100.0
PRKD1	100.0
ZC4H2	100.0
MAP2K1	100.0
MAP2K2	99.88003389322135
LMOD3	100.0
PROC	100.0
PROS1	100.0
PSEN1	100.0
SMARCAD1	100.0
POGLUT1	100.0
SLURP1	100.0
SELENON	89.30636122350674
PTEN	100.0
PTGS1	100.0
MRTFA	100.0
UVSSA	100.0
FANCM	100.0
EPG5	100.0
SPTBN4	100.0
PTPN11	100.0
PTPRJ	99.97935686274509
ACTA1	100.0
NECTIN1	100.0
ABCD4	100.0
RAB27A	100.0
RAD51	100.0
RAD51C	100.0
RAD51D	100.0
RAF1	100.0
RAG1	100.0
RAG2	100.0
RASA1	100.0
ALOXE3	100.0
RFC1	100.0
RFC2	100.0
RFC3	100.0
RFC4	100.0
RFC5	100.0
RGS2	100.0
ACTB	100.0
RIT1	100.0
RMRP	100.0
APOB	100.0
TRAPPC11	100.0
APOE	100.0
RYR1	99.26428103348395
RYR3	100.0
MSMO1	100.0
SCN1A	100.0
SCN4A	100.0
SCN8A	100.0
SCN9A	100.0
VIPAS39	100.0
PIEZO2	100.0
BLOC1S5	100.0
CHTF18	100.0
PERP	100.0
BLM	100.0
NOD2	100.0
CARD9	100.0
ABCG5	100.0
ABCG8	100.0
LIPN	100.0
SIL1	100.0
IKZF5	100.0
MTMR14	100.0
DCLRE1C	100.0
SCG5	100.0
ANAPC1	93.05218073052181
P2RY12	100.0
ELOVL1	100.0
PORCN	100.0
SLC1A3	100.0
SLC2A1	100.0
LDLR	100.0
BMPR1A	100.0
SLCO2A1	100.0
SNAI2	100.0
SNRPE	100.0
SOS1	100.0
SOS2	99.25027413450938
SOX10	100.0
DST	100.0
SRC	100.0
BRCA1	100.0
SREBF1	100.0
BRAF	100.0
BRCA2	100.0
ST14	100.0
STAT3	100.0
ELOVL4	100.0
STIM1	100.0
STK11	91.69564341444573
STXBP2	100.0
SULT2B1	100.0
SVIL	100.0
VAMP2	100.0
ADAM17	100.0
TARS1	100.0
TAT	100.0
TBXA2R	100.0
TBXAS1	100.0
TEK	100.0
TERC	100.0
TERT	100.0
TFE3	100.0
TFPI	100.0
TGM1	100.0
THBD	100.0
THPO	100.0
TNNC2	100.0
TNNI2	100.0
TNNT1	100.0
TNNT3	100.0
TNXB	92.15572369988378
TOP3A	100.0
TP53	100.0
TPM2	100.0
TPM3	100.0
TPM4	100.0
TSC1	100.0
TSC2	100.0
TTN	99.9748043345294
TUFT1	100.0
TYR	100.0
CRPPA	100.0
TYRP1	100.0
UROD	100.0
UROS	100.0
VWF	98.64683410804669
WAS	98.99722685236769
XPA	100.0
XPC	100.0
XRCC2	100.0
CACNA1A	100.0
RNF113A	100.0
CACNA1S	100.0
CACNB4	100.0
VKORC1	100.0
MLPH	100.0
CARD14	100.0
FKRP	100.0
SLC39A7	100.0
USB1	100.0
RHBDF2	100.0
C3orf52	100.0
AAGAB	100.0
PALB2	100.0
HPS6	100.0
PYROXD1	100.0
GRHL2	100.0
WNT10A	100.0
SHOC2	100.0
MPIG6B	100.0
FGF23	100.0
FXR1	100.0
TUBB1	100.0
NECTIN4	100.0
DOCK8	100.0
LZTR1	100.0
USP9X	100.0
DYSF	100.0
CAST	100.0
AXIN2	100.0
BAP1	100.0
GFI1B	100.0
CARS1	100.0
FERMT3	100.0
BRIP1	100.0
KREMEN1	96.12983670411984
DTNBP1	100.0
POMK	100.0
PHF6	100.0
HPS3	100.0
CARD11	100.0
SLX4	100.0
MEGF10	100.0
DHX16	100.0
COL25A1	100.0
MYPN	100.0
MYO18B	100.0
HAVCR2	100.0
ORAI1	100.0
POMGNT2	100.0
ATAD1	100.0
LTV1	100.0
IKBKG	36.955221253731345
AP3B1	100.0
TCAP	100.0
RUNX1	100.0
TP63	100.0
CBL	100.0
ACTN1	100.0
SERPINB7	100.0
MTMR1	95.16329061595701
ACTN2	100.0
DPM1	100.0
DPM2	68.27311987951806
PROZ	100.0
KRIT1	100.0
CACNA1H	97.39217767051154
MBD4	100.0
CCND2	100.0
AP3D1	100.0
HPS4	100.0
PLOD3	100.0
ACVR1	98.69280864756159
MCFD2	100.0
MLIP	100.0
CLDN1	100.0
SLC6A5	100.0
OSMR	100.0
HACD1	100.0
LARGE1	100.0
TRIP4	100.0
TGM5	100.0
SNAP29	100.0
CIAO1	100.0
ACVRL1	100.0
RECQL4	100.0
ECEL1	99.37413271905423
GGPS1	100.0
PIGL	100.0
ADAMTS2	99.68727447678614
MPDU1	100.0
GOSR2	100.0
CD151	100.0
RBM8A	100.0
CDC42	100.0
CDH1	100.0
CFTR	100.0
BRCA1	100.0
FXR1	100.0
SOS1	100.0
WRAP53	87.17257050592035
SERPINB8	100.0
DMD	100.0
PSENEN	80.88886977777777
ERCC6	100.0
