gene_symbol	mean_coverage	average_completeness_at_30X	exon_count	total_length_bp
SOS1	371.54	100.00	23	4504
SOS2	371.53	99.25	23	4558
SOX10	221.88	100.00	4	1760
SOX18	144.16	91.10	2	1306
SPEG	221.25	100.00	41	10625
SPINK5	346.31	100.00	34	4039
SPRED1	320.24	100.00	7	1811
SPTBN4	238.04	100.00	36	8518
SRC	242.35	100.00	14	2266
SREBF1	245.67	100.00	19	4019
SRPK3	251.42	100.00	15	2091
ST14	239.51	100.00	19	3142
ST3GAL4	270.90	100.00	1	11
STAC3	249.30	100.00	12	1531
STAT3	289.02	100.00	24	3034
STIM1	257.02	100.00	12	2867
STING1	263.81	100.00	8	1603
STK11	246.36	91.72	9	2598
STS	289.89	100.00	10	2198
STXBP2	210.15	100.00	19	2212
SULT2B1	251.94	100.00	7	1320
SUZ12	388.82	100.00	16	2763
SVIL	297.94	100.00	38	8159
SYNE1	326.34	100.00	146	29917
TARS1	366.66	100.00	19	2864
TAT	295.74	100.00	12	1705
TBC1D7	306.47	100.00	8	1311
TBXA2R	268.24	100.00	3	1480
TBXAS1	265.13	100.00	13	2101
TCAP	233.02	100.00	2	559
TEK	318.07	100.00	23	4278
TERC	245.96	100.00	1	471
TERT	256.62	100.00	16	3778
TFE3	230.93	100.00	10	2167
TFPI	371.14	100.00	8	1371
TGM1	238.55	100.00	15	2879
TGM5	273.72	100.00	13	2432
THBD	239.58	100.00	1	1909
THPO	257.99	100.00	6	1398
TINF2	285.03	100.00	9	1879
TMC6	256.12	100.00	20	2960
TMC8	232.43	100.00	16	2884
TNNC2	226.13	100.00	6	670
TNNI2	211.47	100.00	8	763
TNNT1	226.04	100.00	14	1207
TNNT3	230.26	100.00	16	1310
TNXB	242.32	92.14	44	13812
TOP3A	279.82	100.00	19	3616
TP53	278.87	100.00	11	1605
TP63	281.84	100.00	14	2413
TPM2	231.68	100.00	9	1275
TPM3	290.82	100.00	10	1176
TPM4	243.66	100.00	8	1149
TRAPPC11	373.58	100.00	30	4205
TRDN	375.70	100.00	41	3329
TREX1	211.18	95.38	1	2102
TRIP4	352.35	100.00	13	2067
TRPM7	401.37	100.00	39	6661
TRPV3	246.87	100.00	18	3056
TSC1	292.67	100.00	22	4017
TSC2	262.65	100.00	42	6371
TSPEAR	256.51	100.00	12	2317
TTN	315.25	99.97	363	115462
TUBB1	275.76	100.00	4	1706
TUFT1	290.80	100.00	13	1496
TYR	288.71	100.00	5	1773
TYRP1	322.73	100.00	8	1953
UBE2T	324.49	100.00	7	871
UNC13D	242.29	99.95	32	4294
UNC45B	260.00	100.00	20	3285
UROD	253.13	100.00	10	1438
UROS	318.18	100.00	10	1265
USB1	267.24	100.00	7	1050
USP9X	355.18	100.00	45	9199
UVSSA	245.93	100.00	14	2858
VAMP2	240.44	100.00	5	548
VIPAS39	288.97	100.00	20	2029
VKORC1	245.59	100.00	3	779
VMA21	276.62	100.00	3	491
VPS33B	273.55	100.00	23	2669
VWF	262.94	98.65	52	9733
WAS	194.97	98.95	12	1807
WDR4	248.33	100.00	11	1548
WNT10A	202.79	100.00	4	1798
WRAP53	274.02	100.00	10	2148
XIRP2	329.41	100.00	10	10940
XPA	354.41	100.00	6	1060
XPC	283.13	100.00	16	3248
XRCC2	339.63	100.00	3	990
ZC4H2	275.96	100.00	5	932
